Protocol,Packet_Size_Bytes,Connection_Duration_ms,Failed_Logins,Geo_Distance_km,Is_Malicious
TCP,134,38,1,991,0
TCP,122,30,0,509,0
TCP,668,21,8,87,1
UDP,239,194,0,95,0
UDP,122,203,0,159,0
TCP,1187,5,0,79,0
TCP,635,2,0,1610,0
TCP,784,34,0,50,0
TCP,274,177,0,303,0
TCP,85,58,0,545,0
TCP,114,226,0,1146,0
TCP,482,30,0,918,0
TCP,48,20,0,359,0
TCP,109,67,0,9,0
UDP,1175,126,0,37,0
TCP,285,201,0,206,0
TCP,470,2,1,453,0
ICMP,103,162,0,1005,0
UDP,810,19,0,238,0
TCP,93,11,0,598,0
TCP,290,11,0,1203,0
UDP,18,121,1,454,0
TCP,11,80,0,532,0
UDP,909,11,0,86,0
UDP,201,76,0,677,0
TCP,28,75,0,299,0
TCP,236,31,0,1426,0
TCP,570,145,0,90,0
TCP,135,195,0,1096,0
TCP,438,41,0,455,0
TCP,1187,102,0,961,0
TCP,579,30,0,148,0
TCP,1073,21,4,3924,1
TCP,801,15,0,145,0
TCP,223,55,0,90,0
TCP,382,10,0,116,0
UDP,231,57,1,5582,1
TCP,42,121,0,1074,0
UDP,24,86,0,104,0
TCP,167,3,0,589,0
TCP,347,85,0,20,0
TCP,62,15,0,665,0
UDP,594,181,0,1427,0
TCP,261,166,0,450,0
TCP,101,364,0,1132,0
TCP,1934,83,1,226,0
TCP,1683,124,0,721,0
UDP,552,6,0,2463,0
TCP,1932,27,0,10,0
TCP,937,82,0,2476,0
UDP,764,33,0,196,0
ICMP,560,205,0,385,0
TCP,45,45,0,342,0
TCP,84,156,0,520,0
TCP,310,120,0,375,0
ICMP,152,23,0,1495,0
TCP,1715,23,0,220,0
TCP,174,124,0,43,0
TCP,318,39,0,227,0
TCP,444,65,0,18,0
TCP,39,37,0,165,0
TCP,589,13,0,944,0
ICMP,193,67,1,432,0
TCP,356,27,0,171,0
TCP,766,82,0,384,0
UDP,70,20,0,246,0
TCP,15,45,1,329,0
ICMP,1412,44,0,933,0
TCP,102,129,0,437,0
UDP,141,77,0,427,0
TCP,46,62,0,750,0
UDP,1103,223,0,53,0
TCP,277,170,0,1004,0
TCP,306,31,0,593,0
UDP,594,20,0,415,0
UDP,7276,50,3,115,1
TCP,188,38,0,254,0
TCP,256,158,0,551,0
TCP,953,31,0,225,0
TCP,489,95,0,422,0
TCP,685,27,0,142,0
TCP,326,38,0,776,0
TCP,45,10,0,99,0
ICMP,569,470,0,23,0
ICMP,11,83,0,755,0
UDP,219,56,0,212,0
TCP,40,230,0,544,0
TCP,683,31,0,84,0
TCP,698,90,0,373,0
TCP,146,61,0,173,0
ICMP,587,43,0,781,0
UDP,4612,27,7,766,1
TCP,962,57,0,1067,0
TCP,4851,48,0,465,1
TCP,186,366,0,214,0
TCP,8,97,0,220,0
TCP,877,35,0,1005,0
TCP,311,143,0,370,0
UDP,383,358,0,55,0
TCP,541,116,0,1936,0
UDP,1129,16,0,159,0
ICMP,325,290,0,317,0
UDP,937,252,0,2319,0
TCP,112,58,0,612,0
TCP,477,157,0,702,0
TCP,277,121,0,657,0
TCP,1492,118,0,97,0
TCP,237,179,1,708,0
TCP,502,248,0,476,0
UDP,1938,123,0,156,0
UDP,429,70,0,337,0
UDP,160,166,0,361,0
TCP,48,9,0,142,0
TCP,1752,89,0,667,0
TCP,244,76,0,901,0
TCP,1116,597,0,383,0
TCP,90,61,0,594,0
TCP,856,225,0,694,0
TCP,45,28,0,97,0
TCP,1285,214,0,1813,0
UDP,288,217,0,231,0
TCP,4256,25,3,6095,1
TCP,333,128,0,564,0
TCP,616,553,0,309,0
TCP,32,80,0,8,0
TCP,114,32,0,275,0
UDP,429,57,0,280,0
TCP,147,3,0,320,0
TCP,416,3,0,601,0
TCP,204,110,0,393,0
TCP,28,133,0,871,0
TCP,426,48,0,122,0
TCP,129,81,0,1070,0
TCP,186,136,0,292,0
TCP,1280,168,1,818,0
ICMP,2332,131,0,364,0
TCP,269,76,0,28,0
UDP,38,135,0,359,0
TCP,460,108,0,1296,0
TCP,394,58,0,1031,0
TCP,55,15,0,209,0
UDP,393,116,0,264,0
TCP,44,61,0,175,0
TCP,445,20,0,172,0
TCP,45,53,0,125,0
ICMP,293,8,0,659,0
TCP,340,32,0,126,0
ICMP,314,208,0,204,0
TCP,1026,6,0,87,0
TCP,23,16,0,6,0
TCP,299,146,0,212,1
TCP,200,264,0,612,0
TCP,502,116,0,216,0
TCP,970,3,0,315,0
TCP,82,49,0,628,0
TCP,6493,699,0,10,1
TCP,367,140,0,1138,0
TCP,8,131,0,399,0
TCP,824,54,0,329,0
TCP,588,41,0,974,0
ICMP,641,20,0,728,0
TCP,27,53,0,785,0
UDP,861,150,0,154,0
TCP,445,226,0,550,0
TCP,88,96,0,525,0
TCP,70,23,0,1134,0
TCP,293,101,14,3556,1
TCP,254,262,0,716,0
TCP,606,13,0,819,0
TCP,828,6,0,1764,0
UDP,1040,56,0,255,0
TCP,247,46,0,351,0
ICMP,49,74,0,1021,0
TCP,29,2,3,4803,1
TCP,417,115,0,958,0
UDP,489,222,0,890,0
TCP,171,22,1,2780,0
TCP,701,51,0,762,0
TCP,559,76,1,218,0
TCP,5819,111,0,6692,1
ICMP,401,11,0,884,0
TCP,1463,16,0,314,0
TCP,1073,118,1,961,0
UDP,5037,117,2,5972,1
TCP,20,27,0,103,0
TCP,549,7,0,350,0
UDP,728,247,0,52,0
TCP,44,82,0,7,0
TCP,269,205,0,304,0
TCP,884,35,0,283,0
UDP,344,112,0,737,0
TCP,751,148,0,272,0
UDP,106,153,0,761,0
TCP,325,84,0,490,0
TCP,352,208,0,4,0
ICMP,505,76,0,238,0
TCP,539,7,0,1158,0
TCP,564,58,0,42,0
ICMP,63,278,0,314,0
TCP,475,13,0,200,0
TCP,671,441,0,273,0
TCP,533,333,0,1029,0
TCP,433,78,0,360,0
TCP,100,55,0,222,0
TCP,518,277,0,40,0
TCP,194,294,0,355,0
TCP,507,1,0,62,0
TCP,133,80,0,299,0
TCP,52,104,0,342,0
UDP,1524,4,0,601,0
ICMP,72,80,0,328,0
TCP,70,1,0,300,0
TCP,826,224,1,284,0
UDP,6370,23,0,555,1
UDP,46,1,0,229,0
TCP,607,30,0,840,0
TCP,994,11,0,248,0
TCP,1053,49,0,249,0
TCP,419,95,0,536,0
UDP,142,8,0,566,0
TCP,13,31,0,1793,0
TCP,102,23,0,384,0
ICMP,238,183,0,469,0
UDP,6005,310,7,7416,1
TCP,1277,190,0,386,0
TCP,162,6,0,90,0
TCP,1555,77,0,345,0
TCP,748,219,0,357,0
TCP,212,14,0,279,0
TCP,268,114,0,380,0
UDP,348,180,0,392,0
UDP,1735,97,0,89,0
UDP,461,133,0,126,0
TCP,378,97,0,210,0
TCP,629,119,0,225,0
TCP,171,60,0,1405,0
TCP,764,29,0,298,0
TCP,551,355,0,172,0
UDP,417,253,4,5468,1
TCP,236,4,0,35,0
TCP,181,105,0,1070,0
TCP,9,4,0,675,0
TCP,153,300,0,158,0
TCP,435,218,0,92,0
TCP,665,1,0,227,0
TCP,518,270,1,337,0
UDP,400,82,0,44,0
TCP,429,21,0,866,0
TCP,1086,440,0,866,0
TCP,7,7,0,369,0
TCP,1417,10,0,151,0
UDP,36,120,1,190,0
TCP,634,99,0,567,0
UDP,2859,89,0,233,0
TCP,187,87,0,1385,0
UDP,2983,223,1,124,0
UDP,588,52,0,178,0
TCP,440,68,0,42,0
TCP,769,203,0,1510,0
TCP,162,11,0,101,0
TCP,984,8,0,338,0
TCP,1482,286,5,161,1
UDP,1215,46,0,1002,0
TCP,1152,317,0,563,0
UDP,133,57,0,241,0
UDP,496,82,0,1656,0
TCP,924,15,0,107,0
TCP,52,118,0,1285,0
TCP,330,172,0,738,0
TCP,297,162,0,127,0
TCP,115,107,0,601,0
TCP,6,200,0,158,0
TCP,520,13,0,471,0
TCP,415,36,0,1437,0
UDP,27,11,0,202,0
TCP,673,29,0,4,0
TCP,191,64,0,105,0
TCP,22,23,0,1296,0
UDP,157,403,0,161,0
UDP,49,46,0,481,0
TCP,712,55,0,1138,0
TCP,789,54,0,9,0
TCP,1400,16,0,5,0
TCP,195,13,0,2,0
TCP,262,150,1,784,0
TCP,257,35,0,409,0
ICMP,663,40,0,54,0
UDP,10,154,0,1418,0
TCP,512,72,0,365,0
TCP,495,242,0,591,0
TCP,434,93,0,302,0
TCP,818,77,0,246,0
TCP,97,59,1,506,0
UDP,729,110,0,349,0
ICMP,2233,151,0,509,0
TCP,52,49,1,910,0
TCP,261,528,1,484,0
UDP,969,370,0,399,0
UDP,29,78,0,77,0
TCP,652,19,0,324,0
TCP,23,31,0,86,0
TCP,1245,25,0,26,0
ICMP,613,131,0,926,0
UDP,268,231,0,1274,0
TCP,866,58,0,837,0
TCP,335,23,1,822,0
TCP,1260,501,0,130,0
TCP,374,49,7,4895,1
TCP,467,40,0,470,0
TCP,464,80,0,317,0
TCP,636,167,0,276,0
TCP,129,117,0,387,0
ICMP,112,88,0,612,0
TCP,69,100,1,82,0
TCP,232,79,0,898,0
ICMP,256,49,0,2919,0
TCP,11,25,0,199,0
TCP,5600,100,13,6167,1
TCP,180,211,0,9,0
TCP,160,20,0,189,0
UDP,1048,43,0,1519,0
TCP,260,35,0,264,0
ICMP,120,124,0,85,0
ICMP,1040,394,0,90,0
UDP,2,176,0,424,0
TCP,588,253,0,3,0
TCP,685,14,0,58,0
TCP,584,104,0,20,0
UDP,58,9,0,1376,0
ICMP,1060,2,0,12,0
UDP,35,334,0,255,0
TCP,249,15,0,371,0
UDP,483,112,0,427,0
TCP,1190,16,0,551,0
TCP,278,55,0,463,0
UDP,556,25,0,111,0
UDP,89,104,0,97,0
TCP,558,66,0,745,0
TCP,988,121,0,125,0
ICMP,275,99,0,1603,0
UDP,177,29,0,2658,0
TCP,293,97,0,114,0
UDP,409,35,0,2169,0
TCP,944,129,0,339,0
UDP,108,34,0,935,0
TCP,653,16,0,77,0
TCP,216,9,0,970,0
TCP,443,39,0,1792,0
TCP,437,100,0,92,0
ICMP,203,38,0,434,0
ICMP,1662,27,0,64,0
TCP,192,14,0,551,0
TCP,848,173,1,180,0
TCP,1011,44,0,89,0
ICMP,15,64,0,14,0
TCP,16,232,0,38,0
TCP,709,49,0,485,0
TCP,21,7,0,151,0
TCP,318,15,0,1195,0
UDP,262,55,0,85,0
UDP,600,90,0,482,0
TCP,150,50,0,181,0
UDP,104,170,0,188,0
TCP,210,45,0,780,0
TCP,330,86,1,23,0
TCP,143,153,0,139,0
UDP,910,24,0,1003,0
TCP,89,33,0,351,0
TCP,373,161,0,122,0
TCP,298,12,0,390,0
TCP,610,29,0,554,0
UDP,426,29,0,24,0
UDP,912,139,1,17,0
UDP,414,14,0,427,0
TCP,126,100,0,314,0
TCP,117,17,0,147,0
TCP,6,94,0,788,0
TCP,1249,122,1,565,0
ICMP,160,87,0,1037,0
TCP,190,41,1,17,0
TCP,64,108,0,65,0
UDP,647,101,0,279,0
TCP,6099,38,0,122,1
ICMP,461,162,0,109,0
UDP,259,52,0,1777,0
TCP,190,184,0,76,0
UDP,254,193,0,268,0
UDP,104,175,0,402,0
TCP,156,80,0,748,0
UDP,55,174,0,559,0
UDP,185,18,0,485,0
TCP,106,2,0,1448,0
TCP,678,72,0,173,0
TCP,134,36,1,42,0
TCP,270,262,2,143,0
UDP,427,103,0,158,0
UDP,1601,80,0,84,0
UDP,362,173,0,372,0
TCP,86,132,0,136,0
TCP,98,225,1,1465,0
TCP,91,194,0,23,0
UDP,48,146,0,598,0
TCP,297,76,0,827,0
UDP,912,74,0,1199,0
UDP,667,26,0,607,0
ICMP,1071,5,0,22,0
ICMP,2733,177,0,14,0
TCP,1706,181,0,266,0
TCP,355,212,0,976,0
TCP,35,47,0,2,0
ICMP,280,130,0,61,0
TCP,75,299,0,973,0
TCP,605,222,0,496,0
TCP,419,48,9,4605,1
TCP,75,187,0,174,0
TCP,277,90,0,14,0
TCP,506,5,0,8,0
ICMP,49,259,0,577,0
TCP,367,562,1,1994,0
TCP,1493,151,0,340,0
TCP,119,207,0,60,0
TCP,987,33,0,693,0
TCP,429,66,0,197,0
UDP,278,133,0,264,0
TCP,733,217,0,665,0
TCP,82,57,0,1201,0
TCP,915,66,0,487,0
TCP,482,3,0,1457,0
TCP,984,94,0,678,0
UDP,2278,61,1,1405,0
TCP,260,67,0,620,0
TCP,1731,63,0,383,0
TCP,598,29,0,45,0
ICMP,460,21,0,184,0
TCP,128,451,0,2092,0
ICMP,374,33,0,84,0
TCP,258,64,0,139,0
TCP,1827,10,0,425,0
TCP,626,81,0,544,0
UDP,540,461,1,779,0
ICMP,331,129,0,130,0
TCP,1887,132,0,834,0
TCP,33,9,0,36,0
TCP,8657,70,0,6828,1
TCP,698,20,2,4412,1
UDP,661,77,0,1668,0
TCP,6138,236,7,219,1
TCP,819,146,0,120,0
TCP,701,4,0,277,1
TCP,386,70,0,204,0
TCP,955,52,0,549,0
TCP,631,50,0,178,0
ICMP,297,63,0,739,0
TCP,175,218,1,45,0
TCP,331,59,0,66,0
TCP,505,0,1,822,0
TCP,180,56,0,333,0
TCP,38,54,0,401,0
ICMP,85,256,0,158,0
TCP,420,94,0,3955,0
TCP,374,162,0,280,0
TCP,155,42,0,447,0
TCP,114,78,0,266,0
UDP,161,58,1,415,0
TCP,143,33,1,819,0
TCP,618,73,0,2223,0
TCP,585,44,0,1474,0
TCP,840,80,0,1,0
TCP,329,8,0,30,0
ICMP,1567,14,0,406,1
UDP,842,290,0,197,0
TCP,771,4,0,508,0
TCP,299,39,0,22,0
UDP,405,86,0,58,0
ICMP,137,52,0,222,0
TCP,110,300,2,467,0
TCP,80,17,0,6347,1
TCP,608,46,0,426,0
TCP,88,45,0,1557,0
TCP,793,59,1,1449,0
TCP,27,84,0,856,0
TCP,408,355,0,594,0
TCP,334,31,0,542,0
TCP,386,8,0,1794,0
TCP,82,233,0,352,0
TCP,5255,30,8,5343,1
TCP,24,87,0,631,0
ICMP,350,92,0,367,0
TCP,554,30,0,7,0
TCP,284,47,0,1799,0
TCP,1268,10,0,108,0
ICMP,333,147,0,167,0
TCP,1306,86,0,336,0
TCP,194,87,1,101,0
TCP,535,52,0,341,0
TCP,71,30,0,247,0
TCP,166,45,0,146,0
ICMP,136,96,0,859,0
UDP,1549,12,0,935,0
TCP,1180,133,0,57,0
TCP,100,1,0,1056,0
TCP,2186,16,0,186,0
TCP,7072,99,0,3843,1
UDP,328,15,0,212,0
TCP,1923,168,0,620,0
UDP,916,26,0,104,0
TCP,730,99,0,200,0
TCP,148,89,0,473,0
TCP,210,292,0,153,0
TCP,181,55,0,128,0
TCP,709,123,0,642,0
TCP,138,73,0,25,0
TCP,293,313,0,1040,0
TCP,396,68,0,1056,0
UDP,171,45,0,268,0
TCP,13,163,0,419,0
ICMP,224,135,0,19,0
TCP,630,49,0,974,0
ICMP,52,23,0,347,0
TCP,374,264,0,1270,0
UDP,1000,108,1,760,0
TCP,23,38,0,234,0
UDP,252,76,0,11,0
UDP,996,100,0,25,0
TCP,438,10,0,76,0
TCP,82,161,0,566,0
TCP,61,150,0,430,0
ICMP,22,30,0,752,0
TCP,49,3,0,441,0
TCP,883,239,0,206,0
TCP,331,9,0,123,0
TCP,243,1,0,340,0
TCP,486,147,0,751,0
TCP,308,272,0,59,0
TCP,4056,395,2,4611,1
UDP,1081,23,0,202,0
UDP,95,110,0,166,0
TCP,613,78,0,671,0
TCP,1022,0,0,390,0
TCP,1099,112,0,28,0
UDP,726,142,0,812,0
TCP,9,130,0,314,0
ICMP,6029,323,0,136,1
TCP,810,69,8,5951,1
TCP,87,191,0,773,0
TCP,824,23,0,101,0
ICMP,637,54,0,264,0
UDP,85,242,0,1041,0
TCP,113,92,0,2520,0
UDP,586,30,0,990,0
ICMP,1027,80,0,423,0
TCP,415,261,1,349,0
TCP,508,37,1,1048,0
TCP,648,19,0,370,0
TCP,175,425,0,267,0
TCP,440,54,0,49,0
TCP,135,15,10,4073,1
TCP,280,49,0,200,0
TCP,170,27,0,346,0
ICMP,214,46,0,1044,0
TCP,462,143,0,2628,0
TCP,40,104,0,249,0
TCP,771,111,0,57,0
TCP,277,160,0,385,0
TCP,914,55,0,1516,0
TCP,338,48,0,216,0
TCP,436,259,0,916,0
UDP,838,75,0,277,0
UDP,19,146,2,478,0
TCP,78,27,0,220,0
TCP,67,60,0,904,0
TCP,670,118,0,1686,0
ICMP,205,59,0,2035,0
TCP,85,41,0,216,0
UDP,820,263,0,1954,0
TCP,6159,90,0,6837,1
TCP,5934,14,0,4754,1
TCP,141,36,0,1392,0
TCP,399,283,0,1273,0
TCP,964,31,0,775,0
UDP,722,167,0,1030,0
TCP,19,123,2,315,0
UDP,257,115,0,249,0
TCP,265,120,0,787,0
TCP,17,0,0,84,0
TCP,39,33,0,1202,0
TCP,349,143,0,592,0
UDP,411,99,0,94,0
TCP,41,85,0,21,0
UDP,54,67,0,578,0
ICMP,1507,117,0,69,0
TCP,179,130,0,169,0
TCP,611,260,0,296,0
TCP,438,178,0,644,0
UDP,144,137,0,235,0
TCP,4233,102,0,15,1
TCP,281,24,0,417,0
TCP,196,17,0,208,0
TCP,724,220,0,977,0
TCP,356,43,0,117,0
TCP,374,77,0,259,0
UDP,238,173,0,564,0
TCP,66,98,1,348,0
TCP,130,43,0,599,0
TCP,206,64,0,749,0
ICMP,47,65,0,137,0
UDP,11,92,0,261,0
TCP,111,296,0,1285,0
ICMP,641,21,0,443,0
UDP,41,34,0,310,0
TCP,365,53,0,1187,0
TCP,129,70,0,416,0
TCP,209,69,1,336,0
TCP,208,268,0,417,0
TCP,676,34,0,352,0
TCP,1779,53,0,212,0
UDP,2403,5,0,391,0
TCP,30,218,0,865,0
TCP,1690,66,0,2342,0
TCP,161,8,0,172,0
TCP,27,26,0,25,0
TCP,61,60,0,208,0
TCP,405,256,0,696,0
TCP,109,158,0,32,0
TCP,706,44,0,2412,0
TCP,309,12,0,174,0
TCP,25,203,0,362,0
TCP,21,166,0,259,0
TCP,1406,33,1,275,0
TCP,1490,103,0,368,0
TCP,670,100,1,350,0
TCP,3005,344,0,378,0
TCP,279,311,0,119,0
TCP,502,291,0,856,0
TCP,190,143,0,827,0
UDP,4,15,1,35,0
TCP,65,139,0,350,0
TCP,640,49,1,1323,0
TCP,193,37,0,365,0
ICMP,734,83,7,697,1
TCP,186,29,0,234,0
TCP,938,102,0,31,0
TCP,372,269,0,145,0
UDP,1019,31,0,449,0
TCP,570,9,0,288,0
TCP,463,150,0,259,0
UDP,162,441,0,32,0
TCP,288,109,1,48,0
TCP,294,104,0,125,0
TCP,512,13,0,282,0
TCP,6421,19,0,187,1
TCP,489,151,0,729,0
ICMP,665,26,0,146,0
TCP,315,181,0,335,0
TCP,576,494,0,20,0
UDP,229,21,0,479,0
TCP,279,33,0,22,0
TCP,4168,187,5,5663,1
TCP,102,54,0,227,0
TCP,501,73,0,581,0
TCP,33,6,0,298,0
TCP,463,24,1,24,0
TCP,1052,45,0,1080,0
TCP,498,4,0,81,0
TCP,6364,35,8,4228,1
TCP,596,0,0,455,0
TCP,1913,108,1,572,0
UDP,691,136,0,345,0
TCP,335,3,0,517,0
ICMP,48,269,0,684,0
TCP,316,68,0,449,0
TCP,91,6,0,221,0
TCP,637,38,0,1456,0
TCP,204,189,0,1561,0
TCP,737,38,0,218,0
UDP,990,15,0,23,0
ICMP,412,16,0,1236,0
TCP,22,149,0,100,0
TCP,349,268,0,1416,0
TCP,308,169,1,237,0
TCP,49,80,0,755,0
TCP,367,82,0,601,0
UDP,374,217,0,953,0
TCP,215,61,1,100,0
TCP,1116,211,0,1724,0
UDP,707,3,0,979,0
TCP,276,9,1,447,0
ICMP,216,87,0,293,0
TCP,359,177,0,206,0
TCP,721,23,0,430,0
ICMP,942,89,0,118,0
UDP,244,1,7,6098,1
TCP,866,69,0,396,0
TCP,620,30,0,11,0
TCP,575,6,0,101,0
TCP,350,102,0,985,0
TCP,1280,181,0,272,0
TCP,150,18,0,556,0
TCP,1156,61,0,118,0
UDP,474,50,0,226,0
ICMP,191,6,0,650,0
TCP,131,12,0,68,0
TCP,181,92,0,1241,0
ICMP,223,11,0,1124,0
UDP,545,27,1,895,0
TCP,640,169,0,251,0
TCP,441,159,0,436,0
TCP,325,6,0,506,0
TCP,30,123,0,1242,0
ICMP,1057,25,0,21,0
UDP,186,378,0,1477,0
UDP,329,44,0,885,0
TCP,344,117,0,864,0
TCP,53,389,0,297,0
UDP,295,51,0,1072,0
TCP,74,10,11,4576,1
UDP,5164,134,9,157,1
TCP,64,106,0,2012,0
TCP,556,45,0,179,0
TCP,146,6,0,569,0
TCP,1051,54,0,159,0
ICMP,417,108,0,1029,0
TCP,94,19,0,254,0
ICMP,97,67,0,65,0
TCP,17,229,0,29,0
TCP,527,18,0,120,0
UDP,581,30,0,951,0
TCP,1111,32,0,78,0
ICMP,968,166,1,1,0
TCP,1787,2,0,121,0
TCP,986,39,0,862,0
TCP,886,89,0,2120,0
TCP,808,213,0,164,0
TCP,1094,5,0,173,0
UDP,29,27,0,224,0
TCP,1800,108,0,100,0
TCP,246,4,0,528,0
TCP,13,81,0,139,0
TCP,1259,5,0,154,0
TCP,594,6,0,943,0
UDP,378,105,0,32,0
TCP,725,78,0,314,0
TCP,52,100,0,670,0
TCP,654,79,0,1488,0
ICMP,189,14,0,451,0
UDP,417,243,0,330,0
TCP,583,45,0,147,0
TCP,495,17,1,183,0
TCP,131,23,0,85,0
TCP,477,26,0,40,0
TCP,4177,15,10,4711,1
UDP,349,123,0,1013,0
UDP,1441,72,0,565,0
UDP,219,102,0,8,0
ICMP,438,271,0,1856,0
UDP,1316,35,0,675,0
TCP,1121,41,0,523,0
TCP,161,28,0,679,0
TCP,1174,40,0,148,0
TCP,925,16,0,491,0
TCP,173,82,0,1086,0
ICMP,922,50,0,171,0
TCP,621,351,1,154,0
TCP,1706,74,0,1449,0
TCP,400,283,0,221,0
ICMP,555,69,1,313,0
TCP,272,307,1,68,0
ICMP,250,303,0,1064,0
TCP,889,374,0,201,0
TCP,228,54,1,194,0
TCP,258,279,0,265,0
UDP,839,4,0,469,0
TCP,15,2,0,68,0
TCP,403,271,0,70,0
ICMP,421,307,0,157,0
TCP,471,77,1,657,0
UDP,1382,235,0,805,0
UDP,6666,127,0,4900,1
UDP,195,8,0,876,0
ICMP,1163,101,0,281,0
TCP,378,8,0,300,0
UDP,1108,66,0,543,0
TCP,435,88,0,333,0
ICMP,503,60,1,793,0
TCP,28,138,0,293,0
UDP,803,117,0,343,0
TCP,39,473,0,171,0
ICMP,774,283,0,9,0
UDP,250,13,0,353,0
TCP,34,53,0,655,0
TCP,20,23,0,95,0
UDP,85,56,0,294,0
TCP,386,194,0,637,0
TCP,818,40,0,216,0
TCP,38,30,0,174,0
UDP,369,24,0,21,0
ICMP,240,34,0,135,0
UDP,206,229,0,230,0
ICMP,619,111,0,108,0
TCP,285,132,0,167,0
TCP,563,28,0,300,0
TCP,287,45,0,266,0
ICMP,1034,17,0,262,0
TCP,38,32,0,949,0
TCP,218,181,0,4894,1
TCP,88,147,0,601,0
UDP,114,26,0,250,0
TCP,268,77,0,1207,0
TCP,391,293,0,1908,0
UDP,983,26,0,583,0
UDP,136,122,0,1650,0
UDP,1291,99,0,446,0
TCP,67,5,0,1676,0
TCP,17,91,0,368,0
TCP,9,19,0,270,0
TCP,1056,143,0,198,0
TCP,1185,128,0,766,0
ICMP,47,132,0,33,0
ICMP,299,3,0,56,0
UDP,160,95,0,617,0
UDP,91,110,0,609,0
UDP,134,114,0,382,0
UDP,772,84,0,41,0
TCP,579,18,0,571,0
TCP,1294,91,0,123,0
TCP,54,86,0,285,0
ICMP,1112,115,0,155,0
ICMP,3,19,0,542,0
TCP,676,292,0,333,0
TCP,550,157,0,72,0
TCP,199,89,0,137,0
TCP,48,31,0,690,0
TCP,167,32,0,247,0
UDP,311,14,0,333,0
ICMP,1739,126,0,454,0
TCP,115,34,0,681,0
TCP,250,67,0,31,0
UDP,4878,21,6,5210,1
UDP,564,154,1,332,0
UDP,195,126,0,217,0
ICMP,164,110,0,132,0
TCP,513,82,0,116,0
TCP,1071,17,0,869,0
TCP,369,60,0,195,0
TCP,100,26,0,294,0
TCP,274,226,1,292,0
TCP,390,454,0,1105,0
TCP,729,29,0,300,0
TCP,40,135,0,618,0
TCP,10,164,0,1058,0
ICMP,504,63,0,49,0
TCP,226,52,0,123,0
UDP,967,61,1,105,0
TCP,736,113,0,180,0
UDP,390,33,0,386,0
TCP,1500,59,1,226,0
TCP,185,93,0,639,0
TCP,177,59,0,39,0
TCP,307,60,0,862,0
TCP,38,394,0,2454,0
TCP,150,29,0,153,0
ICMP,1445,2,0,267,0
TCP,281,42,0,33,0
TCP,367,92,0,212,0
TCP,5754,16,0,5445,1
UDP,178,47,0,250,0
TCP,6261,223,4,412,1
UDP,187,21,0,2036,0
UDP,282,9,0,97,0
TCP,22,209,0,495,0
TCP,1527,150,0,113,0
TCP,1130,340,0,459,0
ICMP,400,116,0,25,0
TCP,237,69,0,2351,0
TCP,48,101,0,1860,0
TCP,351,149,0,309,0
TCP,4248,54,0,1128,0
UDP,420,8,0,277,0
TCP,225,2,0,588,0
TCP,174,10,0,27,0
TCP,639,482,0,513,0
TCP,164,25,0,1233,0
TCP,179,90,0,406,0
TCP,700,52,0,1001,0
TCP,25,19,0,920,0
UDP,829,14,0,571,0
